case,location,date,fatalities,injured,total_victims,location.1,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,race,gender,latitude,longitude,type,year,date_parsed
Lockheed Martin shooting,"Meridian, Mississippi",7/8/2003,7,8,15,Workplace,48,Yes,Yes,"One semiautomatic handgun, two rifles, one derringer, one shotgun",white,Male,32.410842,-88.634539,Mass,2003,2003-07-08
Navistar shooting,"Melrose Park, Illinois",2/5/2001,5,4,9,Workplace,66,No,Yes,"Two rifles, one revolver, one shotgun",black,Male,41.908163,-87.879908,Mass,2001,2001-02-05
Wakefield massacre,"Wakefield, Massachusetts",12/26/2000,7,0,7,Workplace,42,Yes,Yes,"One semiautomatic handgun, one rifle (assault), one shotgun",white,Male,42.500429,-71.075913,Mass,2000,2000-12-26
Hotel shooting,"Tampa, Florida",12/30/1999,5,3,8,Workplace,36,Yes,Yes,"One semiautomatic handgun, one revolver",Latino,Male,27.966479,-82.570586,Spree,1999,1999-12-30
Xerox killings,"Honolulu, Hawaii",11/2/1999,7,0,7,Workplace,40,Yes,Yes,One semiautomatic handgun,Asian,Male,21.320063,-157.876462,Spree,1999,1999-11-02
Wedgwood Baptist Church shooting,"Fort Worth, Texas",9/15/1999,8,7,15,Religious,47,Yes,Yes,Two semiautomatic handguns,white,Male,32.664511,-97.384246,Mass,1999,1999-09-15
Atlanta day trading spree killings,"Atlanta, Georgia",7/29/1999,9,13,22,Workplace,44,Yes,Yes,"Three semiautomatic handguns, one revolver",white,Male,33.850116,-84.377839,Mass,1999,1999-07-29
Columbine High School massacre,"Littleton, Colorado",4/20/1999,13,24,37,School,17,Yes,No,"One semiautomatic handgun (assault), one rifle (assault), two shotguns",white,Male,39.604034,-105.074103,Mass,1999,1999-04-20
Thurston High School shooting,"Springfield, Oregon",5/21/1998,4,25,29,School,15,Yes,No,"Two semiautomatic handguns, one rifle",white,Male,44.0462362,-123.0220289,Mass,1998,1998-05-21
Westside Middle School killings,"Jonesboro, Arkansas",3/24/1998,5,10,15,School,11,No,No,"Two semiautomatic handguns, two rifles, three revolvers, two derringers",white,Male,35.8209895,-90.6682606,Mass,1998,1998-03-24
Connecticut Lottery shooting,"Newington, Connecticut",3/6/1998,5,1,6,Workplace,35,Yes,Yes,One semiautomatic handgun,white,Male,41.6856325,-72.72983827,Mass,1998,1998-03-06
Caltrans maintenance yard shooting,"Orange, California",12/18/1997,5,2,7,Workplace,41,No,Yes,One rifle (assault),Latino,Male,33.7877944,-117.8531119,Spree,1997,1997-12-18
R.E. Phelon Company shooting,"Aiken, South Carolina",9/15/1997,4,3,7,Workplace,43,No,No,One semiautomatic handgun,black,Male,33.5598586,-81.721952,Mass,1997,1997-09-15
Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",2/9/1996,6,1,7,Workplace,41,Yes,Yes,"One semiautomatic handgun, one revolver",black,Male,26.119269,-80.104119,Spree,1996,1996-02-09
Walter Rossler Company massacre,"Corpus Christi, Texas",4/3/1995,6,0,6,Workplace,28,No,Yes,"One semiautomatic handgun, one revolver",unclear,Male,27.828025,-97.548198,Mass,1995,1995-04-03
Air Force base shooting,"Fairchild Air Force Base, Washington",6/20/1994,5,23,28,Military,20,Yes,Yes,One rifle (assault),white,Male,47.61864486,-117.6483587,Mass,1994,1994-06-20
Chuck E. Cheese's killings,"Aurora, Colorado",12/14/1993,4,1,5,Workplace,19,Unclear,Unknown,One semiautomatic handgun,black,Male,39.675599,-104.844845,Mass,1993,1993-12-14
Long Island Rail Road massacre,"Garden City, New York",12/7/1993,6,19,25,Other,35,Yes,Yes,One semiautomatic handgun,black,Male,40.7267682,-73.6342955,Spree,1993,1993-12-07
Luigi's shooting,"Fayetteville, North Carolina",8/6/1993,4,8,12,Other,22,No,Yes,"One rifle, two shotguns",white,Male,35.0529931,-78.8787058,Mass,1993,1993-08-06
101 California Street shootings,"San Francisco, California",7/1/1993,9,6,15,Other,55,No,No,Three semiautomatic handguns (two assault),white,Male,37.792968,-122.397973,Mass,1993,1993-07-01
Watkins Glen killings,"Watkins Glen, New York",10/15/1992,5,0,5,Other,50,Yes,Yes,One semiautomatic handgun,white,Male,42.3810555,-76.8705777,Mass,1992,1992-10-15
Lindhurst High School shooting,"Olivehurst, California",5/1/1992,4,10,14,School,20,No,Yes,"One rifle, one shotgun",white,Male,39.07868761,-121.5475762,Mass,1992,1992-05-01
Royal Oak postal shootings,"Royal Oak, Michigan",11/14/1991,5,5,10,Workplace,31,Yes,Yes,One rifle,white,Male,42.4894801,-83.1446485,Mass,1991,1991-11-14
University of Iowa shooting,"Iowa City, Iowa",11/1/1991,6,1,7,School,28,Unclear,Yes,One revolver,Asian,Male,41.6606893,-91.5302214,Spree,1991,1991-11-01
Luby's massacre,"Killeen, Texas",10/16/1991,24,20,44,Other,35,No,Yes,Two semiautomatic handguns,white,Male,31.1171194,-97.7277959,Mass,1991,1991-10-16
GMAC massacre,"Jacksonville, Florida",6/18/1990,10,4,14,Other,42,No,Yes,"One rifle, one revolver",black,Male,30.3321838,-81.655651,Mass,1990,1990-06-18
Standard Gravure shooting,"Louisville, Kentucky",9/14/1989,9,12,21,Workplace,47,Yes,Yes,"Three semiautomatic handguns (two assault), one rifle (assault), one revolver",white,Male,38.2542376,-85.759407,Mass,1989,1989-09-14
Stockton schoolyard shooting,"Stockton, California",1/17/1989,6,29,35,School,26,Yes,Yes,"One semiautomatic handgun, one rifle (assault)",white,Male,37.9577016,-121.2907796,Mass,1989,1989-01-17
ESL shooting,"Sunnyvale, California",2/16/1988,7,4,11,Workplace,39,Yes,Yes,"Two semiautomatic handguns, one rifle, two revolvers, two shotguns",white,Male,37.3688301,-122.0363496,Mass,1988,1988-02-16
Shopping centers spree killings,"Palm Bay, Florida",4/23/1987,6,14,20,Other,59,Yes,Yes,"One rifle, one revolver, one shotgun",white,Male,28.0331886,-80.6429695,Spree,1987,1987-04-23
United States Postal Service shooting,"Edmond, Oklahoma",8/20/1986,15,6,21,Workplace,44,Unclear ,Yes,Three semiautomatic handguns,white,Male,35.6672015,-97.42937037,Mass,1986,1986-08-20
San Ysidro McDonald's massacre,"San Ysidro, California",7/18/1984,22,19,41,Other,41,Yes,Yes,"One semiautomatic handgun, one rifle (assault), one shotgun",white,Male,32.5520013,-117.0430813,Mass,1984,1984-07-18
Dallas nightclub shooting,"Dallas, Texas",6/29/1984,6,1,7,Other,39,Yes,No,One semiautomatic handgun,white,Male,32.925166,-96.838676,Mass,1984,1984-06-29
Welding shop shooting,"Miami, Florida",8/20/1982,8,3,11,Other,51,Yes,Yes,One shotgun,white,Male,25.796491,-80.226683,Mass,1982,1982-08-20
